,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53,cell_type,disease,sample
S_2103_004037_C-TAL,4.495043374064079,-5.941885614161507,-0.7474158279649054,5.2981679298970565,-0.911860023673702,-3.534894876047675,-1.3795404352851544,-5.472309578429001,-0.13733792901339897,0.6965549277092916,-2.2347126366297334,-2.184472427858008,-0.7670509553713039,-10.483478078407995,C-TAL,Lean Control,S_2103_004037
S_2103_004046_C-TAL,4.537925245610368,-3.08915023623246,0.1577860684765934,4.1842743698845455,0.40826771718242466,-4.917854795644975,-2.0688888975830495,-6.208496443705246,0.788620884934523,1.7315958461806655,-1.6230220039653196,-0.43424890482593126,-1.1724744266808238,-8.395758682435941,C-TAL,Lean Control,S_2103_004046
S_2103_004064_C-TAL,4.531157313453826,-6.027313097056819,-2.3307371853487138,4.644144405362399,0.49025699755014046,-3.2815921080554586,-2.2212375087129916,-4.60741305700868,3.0683907363290297,1.8321269609804378,-3.396352908463271,-2.290611064096445,-1.278542801878255,-10.429786545794,C-TAL,Type 1 Diabetes,S_2103_004064
S_2103_004073_C-TAL,3.666830270376656,-4.4679895983101865,-0.8834556871867346,3.622508547200558,-0.35789731509113004,-4.442106792874658,-1.8747364373215285,-6.526529437538785,-0.6532650560296874,1.2440276397150556,-1.9991375489665086,-1.5722623445640034,-1.208165816154033,-9.35759094129708,C-TAL,Type 1 Diabetes,S_2103_004073
S_2103_004091_C-TAL,4.677334572086555,-4.72229769292056,-0.9635231492047248,4.920107423252959,-0.6475058362307394,-4.4197828447134215,-2.256964654829584,-5.0034314415434595,1.5164669161767368,2.0808073716913875,-2.496494743859751,-2.4599142743794555,-0.9541832414842183,-10.094062469399331,C-TAL,Lean Control,S_2103_004091
S_2103_004100_C-TAL,3.9225957425257723,-2.6412204046519743,0.11081933646064733,3.075660473570048,0.9475379992193479,-5.140822621244432,-1.8097310575059096,-6.831859499005851,-0.2139432249331484,1.5398158944971134,-2.011990325703658,-0.2172810722006249,-1.2349434497677474,-8.093459380493268,C-TAL,Type 1 Diabetes,S_2103_004100
S_2103_004109_C-TAL,4.373700236602492,-5.794082747561017,-0.8201414773943769,4.959294794985082,-1.0178647933224918,-3.5257237969051616,-0.9680067832075506,-5.520437121741978,0.14908558975346994,0.464373931916347,-2.4584163302397872,-2.1699584519975703,-1.5092586503324992,-9.94322389558227,C-TAL,Type 1 Diabetes,S_2103_004109
S_2103_004118_C-TAL,3.9195188612133434,-4.234193729798055,0.11680933857334048,3.6635006222566524,-0.5769085904576042,-4.001171866120212,-1.379794124144594,-4.758601743631437,-0.08198072780629147,0.76136540135781,-2.5304700635178223,-2.9156914994274725,-1.2050137551710667,-10.621088302981445,C-TAL,Type 1 Diabetes,S_2103_004118
S_2103_004127_C-TAL,4.3694576691327995,-4.885577624145758,-0.6176944997945752,4.5166337585203955,-0.340075482846904,-4.339429920713342,-1.6763622891330525,-5.817720283426044,-0.23092101079819588,1.1036972601664627,-2.420808796801198,-2.2259949928367178,-1.132894837216292,-9.817058244510902,C-TAL,Lean Control,S_2103_004127
S_2103_004145_C-TAL,3.76765381169549,-4.725389476363521,-1.0331141063047466,4.11317752312014,-0.5212670622493917,-3.760223835098077,-1.8538493586975642,-5.1255580763082635,-0.3563122964228279,1.354405352758718,-2.114084347263181,-1.2044580262903564,-1.2661295984359435,-9.87748380968844,C-TAL,Type 1 Diabetes,S_2103_004145
S_2103_004154_C-TAL,4.364860789080178,-5.617726442335196,-0.944273103207614,4.720230718311907,0.9727432108254017,-4.3325133820699815,-2.089315612249152,-5.7681038718088615,0.11123344688620143,1.5886090033501659,-2.4845064245150272,-2.292536781381129,-1.3169263243843314,-9.864430871288286,C-TAL,Type 1 Diabetes,S_2103_004154
